Name,Link to hotel,price,vendorInner,popindex,Review1,Review2,review_count,Review 3,Review4
"Lemon Tree Premier, Delhi Airport",https://www.tripadvisor.in/Hotel_Review-g304551-d3583700-Reviews-Lemon_Tree_Premier_Delhi_Airport-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 5,704",Booking.com,"#16 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"4,074 reviews",All Inclusive,
Le Meridien New Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d301904-Reviews-Le_Meridien_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 6,717",Agoda.com,"#17 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"4,583 reviews",Breakfast included,
The Muse Sarovar Portico New Delhi Kapashera,https://www.tripadvisor.in/Hotel_Review-g304551-d11983212-Reviews-The_Muse_Sarovar_Portico_New_Delhi_Kapashera-New_Delhi_National_Capital_Territory_of_.html,"₹ 4,224",Booking.com,"#18 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,953 reviews,Breakfast included,Free cancellation
,,,,,,,,,
ibis New Delhi Aerocity,https://www.tripadvisor.in/Hotel_Review-g304551-d2590189-Reviews-Ibis_New_Delhi_Aerocity-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 2,216",Hotels.com,"#19 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"2,399 reviews",,
Hotel City Star,https://www.tripadvisor.in/Hotel_Review-g304551-d3520941-Reviews-Hotel_City_Star-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 2,605",Tripadvisor,"#20 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Restaurant,"1,742 reviews",Breakfast included,"Reserve now, pay at stay"
Colonels Retreat 2,https://www.tripadvisor.in/Hotel_Review-g304551-d15521533-Reviews-Colonels_Retreat_2-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 6,291",Hotels.com,,Free Wifi,Free parking,17 reviews,Breakfast included,
Taurus Sarovar Portico,https://www.tripadvisor.in/Hotel_Review-g304551-d2082905-Reviews-Taurus_Sarovar_Portico-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 3,681",Booking.com,"#21 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,896 reviews,,Free cancellation
Hotel Amax Inn,https://www.tripadvisor.in/Hotel_Review-g304551-d1477310-Reviews-Hotel_Amax_Inn-New_Delhi_National_Capital_Territory_of_Delhi.html,₹ 896,MakeMyTrip,"#22 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Restaurant,"1,096 reviews",,Free cancellation
Hotel Grand Godwin,https://www.tripadvisor.in/Hotel_Review-g304551-d592998-Reviews-Hotel_Grand_Godwin-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 1,796",MakeMyTrip,"#23 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Restaurant,"1,544 reviews",Breakfast included,Free cancellation
